Fecha;Canal;Hora;Programa;Espectadores;Share(%);
2019-04-04;LA2;00:23;ACCESO AUTORIZADO / SALVAMENTO MARITIMO;118.000;1.6%;
2019-04-04;LA2;01:21;CONCIERTOS RADIO 3 / JOSE DOMINGO;22.000;0.4%;
2019-04-04;LA2;01:49;ESE PROGRAMA DEL QUE USTED ME HABLA;17.000;0.5%;
2019-04-05;LA2;07:05;PASEOS HISTORICOS / HOLLYWOOD:LA CIUDAD DE LOS SUEÑOS;6.000;0.5%;
2019-04-05;LA2;07:30;INGLES ONLINE TVE;9.000;0.6%;
2019-04-05;LA2;08:00;ITALIA:CIUDADES OCULTAS / VENECIA;16.000;0.7%;
2019-04-05;LA2;08:57;EL SEÑOR DE LOS BOSQUES / VALLE DE IRUELAS;23.000;1.1%;
2019-04-05;LA2;09:30;AQUI HAY TRABAJO;49.000;2%;
2019-04-05;LA2;09:56;TV UNED;35.000;1.3%;
2019-04-05;LA2;10:50;EL CAÇADOR DE VERITATS / ELS FILLS;3.000;0.1%;
2019-04-05;LA2;10:54;D.REG(CUADERNOS DE PASO) / CUADERNO DE CANTAVIEJA;63.000;2%;
2019-04-05;LA2;10:54;CUADERNOS DE PASO / CUADERNO DE CANTAVIEJA;61.000;2%;
2019-04-05;LA2;11:20;CARRARIUS;1.000;0%;
2019-04-05;LA2;11:53;50 AÑOS DE... / TRADICIONES POR CLAUDIA LLOSA;81.000;2.3%;
2019-04-05;LA2;12:23;MAÑANAS DE CINE / MATAD A JOHNNY RINGO;192.000;3.8%;
2019-04-05;LA2;13:50;PLANETA GASTRONOMICO / LA HISTORIA DEL CAFE;189.000;2.2%;
2019-04-05;LA2;14:45;LAS RUTAS D'AMBROSIO / LA AXARQUIA MALAGUEÑA;298.000;2.5%;
2019-04-05;LA2;15:45;SABER Y GANAR;1.158.000;9.5%;
2019-04-05;LA2;16:31;GRANDES DOCUMENTALES;547.000;4.9%;
2019-04-05;LA2;16:31;LOS TESOROS DEL INDO / DE DIOSES Y HOMBRES;604.000;5.2%;
2019-04-05;LA2;17:14;ITALIA:CIUDADES OCULTAS / FLORENCIA;558.000;5%;
